Rooms,Type,Price,Distance,Bedroom,Bathroom,Car,Landsize,Lattitude,Longtitude,Regionname,Total_Schools_per_Region
3,u,665000,6.4,3,2,1,0,-37.8016,144.9082,Western Metropolitan,229
2,h,690500,6.4,2,1,1,212,-37.7903,144.8879,Western Metropolitan,229
2,h,747000,6.4,2,1,1,320,-37.7964,144.8871,Western Metropolitan,229
2,h,858000,6.4,2,1,1,313,-37.7966,144.9016,Western Metropolitan,229
4,t,699000,6.4,4,2,2,0,-37.7905,144.8882,Western Metropolitan,229
2,h,835000,6.4,2,1,1,222,-37.7962,144.8844,Western Metropolitan,229
2,h,661000,6.4,2,1,1,132,-37.7946,144.8903,Western Metropolitan,229
2,h,757500,6.4,2,1,0,258,-37.7959,144.8901,Western Metropolitan,229
1,u,282000,6.4,1,1,1,1783,-37.7949,144.9007,Western Metropolitan,229
3,t,699000,6.4,3,1,1,125,-37.7922,144.8831,Western Metropolitan,229
3,h,850000,6.4,3,1,0,190,-37.795,144.883,Western Metropolitan,229
2,u,315000,6.4,2,1,1,882,-37.7899,144.893,Western Metropolitan,229
3,h,740000,6.4,3,1,1,211,-37.8059,144.901,Western Metropolitan,229
3,t,640000,6.4,3,1,2,512,-37.7965,144.8896,Western Metropolitan,229
2,u,360000,6.4,2,1,1,0,-37.8012,144.8964,Western Metropolitan,229
3,h,980000,6.4,3,2,2,196,-37.7987,144.9034,Western Metropolitan,229
3,u,561000,6.4,3,1,1,0,-37.7952,144.909,Western Metropolitan,229
2,u,316000,6.4,2,1,1,0,-37.789,144.8932,Western Metropolitan,229
2,h,800000,6.4,2,1,2,260,-37.7969,144.9042,Western Metropolitan,229
2,h,760000,6.4,2,1,0,130,-37.7988,144.9045,Western Metropolitan,229
3,t,735000,6.4,3,2,2,112,-37.8001,144.8797,Western Metropolitan,229
2,h,823000,6.4,2,1,0,238,-37.7946,144.8944,Western Metropolitan,229
4,h,1225000,6.4,4,2,1,319,-37.7943,144.8875,Western Metropolitan,229
2,u,296000,6.4,2,1,1,0,-37.789,144.8932,Western Metropolitan,229
3,h,886500,6.4,3,1,0,268,-37.7942,144.8933,Western Metropolitan,229
3,h,767500,6.4,3,2,0,458,-37.7942,144.8832,Western Metropolitan,229
2,u,395000,6.4,2,2,1,0,-37.8006,144.9053,Western Metropolitan,229
4,h,815000,6.4,4,2,1,369,-37.7914,144.8957,Western Metropolitan,229
3,t,757000,6.4,3,2,2,102,-37.7987,144.8807,Western Metropolitan,229
4,h,1450000,6.4,4,1,1,799,-37.7958,144.9001,Western Metropolitan,229
2,h,745000,6.4,2,1,1,355,-37.7931,144.8938,Western Metropolitan,229
2,h,716000,6.4,2,1,2,274,-37.7939,144.8846,Western Metropolitan,229
3,h,1735000,9.2,3,2,3,680,-37.854,145.0832,Southern Metropolitan,191
2,h,1699000,9.2,3,1,2,653,-37.8573,145.077,Southern Metropolitan,191
4,h,3400000,9.2,4,3,2,856,-37.8628,145.0436,Southern Metropolitan,191
5,h,3730000,9.2,4,3,2,919,-37.8637,145.0438,Southern Metropolitan,191
4,h,1800000,9.2,4,2,2,868,-37.8522,145.0893,Southern Metropolitan,191
4,h,1998000,9.2,4,2,1,739,-37.8513,145.0601,Southern Metropolitan,191
2,u,671000,9.2,2,1,1,0,-37.8555,145.0889,Southern Metropolitan,191
4,h,3110000,9.2,4,2,4,1318,-37.853,145.0491,Southern Metropolitan,191
3,h,1780000,9.2,3,1,2,627,-37.8599,145.0898,Southern Metropolitan,191
3,h,1425000,9.2,3,2,2,217,-37.8639,145.0641,Southern Metropolitan,191
3,h,1530000,9.2,3,1,1,753,-37.8543,145.0889,Southern Metropolitan,191
4,h,1900000,9.2,4,4,2,708,-37.8646,145.0673,Southern Metropolitan,191
2,h,1500000,9.2,3,1,2,660,-37.8536,145.0911,Southern Metropolitan,191
3,h,1360000,9.2,3,2,1,704,-37.852,145.0942,Southern Metropolitan,191
5,h,2175000,9.2,5,3,4,619,-37.8554,145.0611,Southern Metropolitan,191
4,h,2325000,9.2,4,3,2,638,-37.8523,145.0726,Southern Metropolitan,191
4,h,2538000,9.2,4,2,3,630,-37.856,145.0691,Southern Metropolitan,191
4,h,2300000,9.2,4,3,4,1258,-37.8552,145.082,Southern Metropolitan,191
2,u,550000,9.2,2,1,1,0,-37.8567,145.0435,Southern Metropolitan,191
3,h,1600000,9.2,3,2,1,704,-37.852,145.0942,Southern Metropolitan,191
3,h,2100000,9.2,3,2,2,904,-37.856,145.0705,Southern Metropolitan,191
3,h,2115000,9.2,4,2,2,745,-37.8501,145.059,Southern Metropolitan,191
3,h,1700000,9.2,3,2,2,625,-37.8602,145.0925,Southern Metropolitan,191
4,h,3500000,9.2,4,2,2,859,-37.8625,145.044,Southern Metropolitan,191
3,h,1750000,9.2,3,2,2,652,-37.8556,145.068,Southern Metropolitan,191
3,h,967500,9.2,3,2,1,233,-37.8515,145.0938,Southern Metropolitan,191
4,h,2077000,9.2,4,2,3,553,-37.8589,145.0413,Southern Metropolitan,191
4,h,2850000,9.2,4,3,2,1184,-37.8526,145.0848,Southern Metropolitan,191
2,u,411000,9.2,2,1,1,0,-37.85,145.0461,Southern Metropolitan,191
3,h,1222000,9.2,3,1,1,215,-37.85,145.057,Southern Metropolitan,191
4,h,1550000,9.2,3,2,2,662,-37.8588,145.0832,Southern Metropolitan,191
3,h,1660000,9.2,3,1,2,297,-37.847,145.0535,Southern Metropolitan,191
6,h,2250000,9.2,5,3,2,650,-37.8534,145.0785,Southern Metropolitan,191
3,u,1162000,9.2,2,2,2,281,-37.8579,145.0736,Southern Metropolitan,191
4,h,2020000,9.2,4,2,2,630,-37.8667,145.0752,Southern Metropolitan,191
2,h,845000,9.2,2,0,0,207,-37.863,145.0501,Southern Metropolitan,191
3,h,1510000,9.2,3,2,2,370,-37.8597,145.0883,Southern Metropolitan,191
4,h,2010000,9.2,4,2,2,659,-37.8509,145.0916,Southern Metropolitan,191
4,h,2975000,9.2,4,3,4,0,-37.8541,145.0643,Southern Metropolitan,191
2,u,585000,9.2,2,1,1,0,-37.8523,145.0936,Southern Metropolitan,191
3,h,1275000,9.2,3,2,2,669,-37.8596,145.0871,Southern Metropolitan,191
1,u,452000,9.2,1,1,1,63,-37.8552,145.05,Southern Metropolitan,191
3,t,1625000,9.2,3,2,2,365,-37.8526,145.0853,Southern Metropolitan,191
4,h,1800000,9.2,4,3,2,743,-37.8566,145.0439,Southern Metropolitan,191
3,h,1820000,9.2,3,1,3,650,-37.8571,145.0766,Southern Metropolitan,191
1,u,291000,9.2,1,1,1,1097,-37.8576,145.0452,Southern Metropolitan,191
2,u,710000,9.2,2,1,2,123,-37.8567,145.0666,Southern Metropolitan,191
4,h,2376000,9.2,4,2,2,652,-37.8479,145.0557,Southern Metropolitan,191
2,h,1020000,9.2,2,1,0,251,-37.8627,145.0402,Southern Metropolitan,191
3,h,1456000,9.2,3,1,2,504,-37.8541,145.0544,Southern Metropolitan,191
3,h,1875000,9.2,3,2,3,607,-37.8534,145.0735,Southern Metropolitan,191
3,h,1430000,9.2,3,3,2,385,-37.8524,145.0425,Southern Metropolitan,191
6,h,2300000,9.2,6,2,2,0,-37.8519,145.091,Southern Metropolitan,191
1,t,345000,9.2,1,1,1,745,-37.8505,145.0459,Southern Metropolitan,191
5,h,2000000,9.2,5,3,1,696,-37.8563,145.0709,Southern Metropolitan,191
4,h,1550000,9.2,4,0,0,769,-37.8628,145.0734,Southern Metropolitan,191
3,h,1625000,9.2,4,2,4,1005,-37.8528,145.0487,Southern Metropolitan,191
2,u,480000,9.2,2,1,1,0,-37.8559,145.049,Southern Metropolitan,191
2,t,585000,9.2,2,1,1,84,-37.8517,145.0796,Southern Metropolitan,191
5,h,1960000,9.2,5,3,2,650,-37.8534,145.0785,Southern Metropolitan,191
4,h,1700000,9.2,4,3,1,650,-37.8581,145.078,Southern Metropolitan,191
2,u,680000,9.2,2,1,1,0,-37.8566,145.0454,Southern Metropolitan,191
3,t,1220000,9.2,3,2,2,278,-37.8574,145.0496,Southern Metropolitan,191
3,h,1375000,9.2,3,2,2,328,-37.8529,145.0605,Southern Metropolitan,191
2,h,920000,9.2,2,1,2,334,-37.8577,145.0576,Southern Metropolitan,191
2,u,382000,9.2,2,1,1,1069,-37.8547,145.0457,Southern Metropolitan,191
2,u,545000,9.2,3,0,0,0,-37.85,145.0465,Southern Metropolitan,191
4,t,1350000,9.2,3,2,2,342,-37.8622,145.0634,Southern Metropolitan,191
2,h,1280000,9.2,2,1,1,412,-37.8541,145.051,Southern Metropolitan,191
3,h,1825000,9.2,3,1,2,652,-37.8552,145.0785,Southern Metropolitan,191
5,h,2825000,9.2,5,4,4,802,-37.8627,145.0719,Southern Metropolitan,191
3,h,2825000,9.2,4,2,4,885,-37.8577,145.0421,Southern Metropolitan,191
2,u,520000,9.2,3,1,2,512,-37.8538,145.0459,Southern Metropolitan,191
4,h,1825000,9.2,3,3,2,366,-37.8503,145.0586,Southern Metropolitan,191
1,u,328000,9.2,1,1,0,0,-37.8588,145.0512,Southern Metropolitan,191
4,h,2016000,9.2,4,2,3,733,-37.8561,145.0864,Southern Metropolitan,191
5,h,3085000,9.2,5,3,3,778,-37.8582,145.0715,Southern Metropolitan,191
3,h,1710000,9.2,3,1,3,557,-37.8556,145.0499,Southern Metropolitan,191
3,h,1770000,9.2,3,1,3,603,-37.8503,145.0754,Southern Metropolitan,191
3,h,1765000,9.2,3,1,2,650,-37.8505,145.0852,Southern Metropolitan,191
2,u,511000,9.2,2,1,1,0,-37.8517,145.0459,Southern Metropolitan,191
3,h,2000000,9.2,2,1,2,821,-37.8581,145.0685,Southern Metropolitan,191
2,h,1600000,9.2,2,2,2,718,-37.858,145.0696,Southern Metropolitan,191
3,h,1880000,9.2,3,2,2,668,-37.8489,145.0711,Southern Metropolitan,191
5,h,2352500,9.2,5,3,2,642,-37.859,145.0656,Southern Metropolitan,191
5,h,3860000,9.2,5,4,2,830,-37.8563,145.072,Southern Metropolitan,191
4,h,2625000,9.2,4,3,2,840,-37.8538,145.0641,Southern Metropolitan,191
2,u,856500,9.2,2,1,1,0,-37.8566,145.0553,Southern Metropolitan,191
5,h,1650000,9.2,5,2,2,400,-37.8572,145.0555,Southern Metropolitan,191
2,t,600000,9.2,2,1,1,0,-37.8506,145.0465,Southern Metropolitan,191
2,u,690000,9.2,2,1,2,166,-37.863,145.0631,Southern Metropolitan,191
3,t,1200000,9.2,3,2,2,541,-37.8628,145.0486,Southern Metropolitan,191
4,h,3010000,9.2,3,3,2,677,-37.8476,145.0554,Southern Metropolitan,191
2,u,785000,9.2,2,1,1,0,-37.8488,145.0573,Southern Metropolitan,191
4,h,1950000,9.2,4,2,2,775,-37.8561,145.0934,Southern Metropolitan,191
3,h,2200000,9.2,3,1,2,700,-37.8553,145.0711,Southern Metropolitan,191
3,h,1751000,9.2,3,1,3,609,-37.8542,145.0733,Southern Metropolitan,191
4,h,1857000,9.2,4,2,3,548,-37.8536,145.0547,Southern Metropolitan,191
1,u,375000,9.2,1,1,1,602,-37.8597,145.0571,Southern Metropolitan,191
2,u,720000,9.2,2,1,2,0,-37.8468,145.0515,Southern Metropolitan,191
3,h,1500000,9.2,3,1,3,401,-37.8471,145.051,Southern Metropolitan,191
4,h,2725000,9.2,4,3,2,603,-37.8521,145.0657,Southern Metropolitan,191
2,h,1723000,9.2,2,1,1,553,-37.8464,145.0511,Southern Metropolitan,191
2,u,529500,9.2,2,1,1,0,-37.8572,145.0423,Southern Metropolitan,191
3,h,2800000,9.2,3,1,2,762,-37.8575,145.0554,Southern Metropolitan,191
3,h,1665000,9.2,3,1,2,685,-37.8538,145.0842,Southern Metropolitan,191
2,u,600000,9.2,2,1,1,0,-37.8555,145.0518,Southern Metropolitan,191
3,h,1420000,9.2,3,1,2,615,-37.8578,145.0919,Southern Metropolitan,191
3,h,1550000,9.2,3,2,2,307,-37.8531,145.086,Southern Metropolitan,191
1,u,420000,9.2,1,1,1,805,-37.8592,145.0484,Southern Metropolitan,191
4,h,1920000,9.2,4,2,2,706,-37.8573,145.0904,Southern Metropolitan,191
5,h,2100000,9.2,5,3,2,696,-37.8478,145.0566,Southern Metropolitan,191
5,h,2410000,9.2,5,2,2,654,-37.8515,145.0922,Southern Metropolitan,191
4,h,2100000,9.2,4,2,2,645,-37.8516,145.061,Southern Metropolitan,191
4,h,2950000,9.2,4,2,2,1485,-37.8509,145.0856,Southern Metropolitan,191
2,u,390000,9.2,2,1,1,0,-37.8497,145.0466,Southern Metropolitan,191
5,h,3365000,9.2,5,2,2,1339,-37.8649,145.0547,Southern Metropolitan,191
4,h,1390000,9.2,3,2,3,397,-37.8578,145.068,Southern Metropolitan,191
4,h,1802000,9.2,4,3,2,394,-37.8523,145.0603,Southern Metropolitan,191
3,h,1310000,9.2,3,1,2,464,-37.8539,145.0702,Southern Metropolitan,191
3,h,1931000,9.2,3,2,2,648,-37.8547,145.0771,Southern Metropolitan,191
4,h,2000000,9.2,3,2,4,401,-37.8583,145.0726,Southern Metropolitan,191
2,h,1250000,9.2,2,1,2,438,-37.8511,145.0428,Southern Metropolitan,191
5,h,2400000,9.2,5,3,2,709,-37.8529,145.0806,Southern Metropolitan,191
2,u,460000,9.2,2,1,1,0,-37.8578,145.0537,Southern Metropolitan,191
3,h,610000,13,3,1,2,696,-37.6972,144.9431,Northern Metropolitan,239
3,h,610000,13,3,1,3,640,-37.6979,144.9335,Northern Metropolitan,239
3,t,555000,13,3,2,2,244,-37.6969,144.9299,Northern Metropolitan,239
3,h,500000,13,3,1,1,336,-37.7088,144.9356,Northern Metropolitan,239
3,h,806500,13,3,1,2,766,-37.6988,144.9372,Northern Metropolitan,239
5,h,1150000,13,5,3,2,700,-37.7095,144.9253,Northern Metropolitan,239
5,h,850000,13,5,3,1,487,-37.7088,144.926,Northern Metropolitan,239
4,h,550000,13,4,2,1,683,-37.6964,144.9314,Northern Metropolitan,239
3,h,822000,13,3,1,4,700,-37.6988,144.9438,Northern Metropolitan,239
3,h,980000,13,3,2,3,1029,-37.7115,144.9147,Northern Metropolitan,239
3,h,670000,13,3,1,1,652,-37.7062,144.9261,Northern Metropolitan,239
2,u,430000,13,2,1,1,164,-37.7072,144.9252,Northern Metropolitan,239
2,h,852500,13,2,1,2,832,-37.7126,144.9122,Northern Metropolitan,239
4,h,1025000,13,4,2,4,1011,-37.712,144.9127,Northern Metropolitan,239
2,h,540000,13,2,1,1,164,-37.7082,144.9178,Northern Metropolitan,239
2,h,530000,13,2,1,2,643,-37.6978,144.9276,Northern Metropolitan,239
3,h,721000,13,3,1,2,674,-37.7102,144.9362,Northern Metropolitan,239
3,h,737000,13,3,1,4,640,-37.6986,144.9243,Northern Metropolitan,239
3,h,575500,13,3,1,1,701,-37.6953,144.9397,Northern Metropolitan,239
3,h,600000,13,3,1,2,702,-37.6999,144.9387,Northern Metropolitan,239
3,h,460000,13,3,2,2,224,-37.702,144.9507,Northern Metropolitan,239
3,t,370000,13,3,2,1,259,-37.6977,144.9149,Northern Metropolitan,239
3,h,691000,13,3,1,2,753,-37.7065,144.9374,Northern Metropolitan,239
3,h,500000,13,3,1,1,589,-37.6993,144.9393,Northern Metropolitan,239
3,t,545000,13,3,2,1,136,-37.7112,144.9142,Northern Metropolitan,239
3,h,670000,13,3,1,4,734,-37.7007,144.9378,Northern Metropolitan,239
3,h,572000,13,3,1,2,627,-37.6974,144.9326,Northern Metropolitan,239
4,h,702000,13,4,1,4,606,-37.7104,144.9088,Northern Metropolitan,239
2,h,730000,13,2,1,1,705,-37.706,144.9245,Northern Metropolitan,239
3,h,711500,13,3,1,3,667,-37.7005,144.9185,Northern Metropolitan,239
3,h,820000,13,3,2,4,805,-37.708,144.9211,Northern Metropolitan,239
5,h,810000,13,5,4,4,695,-37.7028,144.9377,Northern Metropolitan,239
2,u,250000,13,2,1,1,0,-37.711,144.9178,Northern Metropolitan,239
3,t,460000,13,3,1,1,325,-37.7001,144.9291,Northern Metropolitan,239
3,h,793000,13,3,1,2,780,-37.7,144.9427,Northern Metropolitan,239
2,u,340000,13,2,1,1,0,-37.7071,144.9176,Northern Metropolitan,239
3,h,596000,13,3,1,3,624,-37.6967,144.9313,Northern Metropolitan,239
3,h,447500,13,3,1,1,320,-37.6949,144.9122,Northern Metropolitan,239
3,h,588000,13,3,1,1,616,-37.7029,144.9053,Northern Metropolitan,239
3,h,420000,13,3,1,2,0,-37.7025,144.9504,Northern Metropolitan,239
2,u,410000,13,2,1,2,200,-37.7002,144.9428,Northern Metropolitan,239
3,h,688000,13,3,1,4,700,-37.7022,144.924,Northern Metropolitan,239
3,h,612500,13,3,2,3,635,-37.7006,144.9239,Northern Metropolitan,239
3,h,525000,13,3,1,1,665,-37.6966,144.9331,Northern Metropolitan,239
3,h,703000,13,3,1,4,704,-37.7021,144.9136,Northern Metropolitan,239
4,t,608000,13,3,2,1,252,-37.7006,144.9299,Northern Metropolitan,239
5,h,705000,13,5,3,2,612,-37.7022,144.9054,Northern Metropolitan,239
2,u,320500,13,2,1,1,3056,-37.7042,144.9214,Northern Metropolitan,239
3,h,577000,13,3,1,2,706,-37.7053,144.9372,Northern Metropolitan,239
2,u,230000,13,2,1,1,1996,-37.702,144.9154,Northern Metropolitan,239
4,t,607000,13,4,3,2,0,-37.7102,144.9112,Northern Metropolitan,239
3,h,765500,13,3,2,2,780,-37.6955,144.9389,Northern Metropolitan,239
3,u,470000,13,3,1,2,187,-37.7098,144.9163,Northern Metropolitan,239
3,u,482500,13,3,1,1,265,-37.7083,144.9158,Northern Metropolitan,239
3,h,580000,13,3,1,2,650,-37.7002,144.9408,Northern Metropolitan,239
2,t,434500,13,2,1,1,125,-37.7042,144.9211,Northern Metropolitan,239
2,u,620250,13,2,1,2,253,-37.7117,144.9135,Northern Metropolitan,239
3,h,710000,13,3,1,1,796,-37.6955,144.9253,Northern Metropolitan,239
4,h,630000,13,3,1,2,630,-37.7002,144.9232,Northern Metropolitan,239
2,t,420000,13,2,1,1,307,-37.7117,144.9348,Northern Metropolitan,239
3,h,600000,13,3,1,4,541,-37.7051,144.9069,Northern Metropolitan,239
3,t,550000,13,3,2,2,212,-37.7073,144.9277,Northern Metropolitan,239
3,u,460000,13,3,2,1,190,-37.6997,144.9367,Northern Metropolitan,239
4,h,600000,13,4,1,2,586,-37.6975,144.9065,Northern Metropolitan,239
4,h,1217500,13,4,3,2,693,-37.7111,144.9275,Northern Metropolitan,239
3,h,600000,13,3,1,2,599,-37.7009,144.9291,Northern Metropolitan,239
3,h,570000,13,3,2,2,585,-37.6977,144.9071,Northern Metropolitan,239
4,h,655000,13,4,1,2,695,-37.6985,144.9441,Northern Metropolitan,239
3,h,500000,13,3,1,4,677,-37.695,144.9271,Northern Metropolitan,239
3,h,762700,13,3,1,4,597,-37.7097,144.9351,Northern Metropolitan,239
2,u,465000,13,2,1,1,176,-37.7081,144.912,Northern Metropolitan,239
2,h,741250,13,2,1,1,668,-37.7067,144.9331,Northern Metropolitan,239
2,t,488500,13,2,2,1,190,-37.7072,144.9241,Northern Metropolitan,239
4,h,787500,13,4,2,2,650,-37.7004,144.9411,Northern Metropolitan,239
2,u,442000,13,3,1,1,245,-37.7076,144.9097,Northern Metropolitan,239
4,h,1000000,13,4,2,8,977,-37.7063,144.9273,Northern Metropolitan,239
2,h,726335,13,2,1,2,590,-37.7072,144.938,Northern Metropolitan,239
4,h,630000,13,4,2,2,602,-37.7005,144.9258,Northern Metropolitan,239
3,h,670000,13,3,1,3,705,-37.6967,144.9116,Northern Metropolitan,239
2,h,417000,13,2,1,1,172,-37.7074,144.9086,Northern Metropolitan,239
3,t,600000,13,3,1,2,258,-37.7047,144.9087,Northern Metropolitan,239
3,t,440000,13,3,2,1,215,-37.6952,144.9256,Northern Metropolitan,239
3,h,501000,13,3,1,1,348,-37.7119,144.9111,Northern Metropolitan,239
3,h,660000,13,3,1,2,657,-37.7019,144.9225,Northern Metropolitan,239
3,h,722000,13,3,1,3,781,-37.7048,144.9097,Northern Metropolitan,239
2,h,270000,13,2,1,1,155,-37.6972,144.9239,Northern Metropolitan,239
4,h,825000,13,4,2,4,768,-37.6979,144.9377,Northern Metropolitan,239
4,h,638000,13,4,2,1,624,-37.6969,144.9334,Northern Metropolitan,239
3,h,631000,13.6,3,2,2,608,-37.709,144.8925,Western Metropolitan,229
3,t,532000,13.6,3,2,1,149,-37.7068,144.8963,Western Metropolitan,229
3,h,500000,13.6,3,2,1,140,-37.7071,144.8959,Western Metropolitan,229
3,h,504000,13.6,3,2,1,215,-37.709,144.8964,Western Metropolitan,229
3,t,468000,13.6,3,2,2,178,-37.7087,144.8962,Western Metropolitan,229
4,h,802500,13.6,4,2,2,0,-37.705,144.9004,Western Metropolitan,229
4,h,709000,13.6,4,2,2,453,-37.7016,144.8974,Western Metropolitan,229
3,h,700000,13.6,3,2,2,691,-37.7089,144.8927,Western Metropolitan,229
3,h,485000,13.6,3,2,1,175,-37.7076,144.8961,Western Metropolitan,229
3,h,540000,13.6,3,2,1,367,-37.704,144.8989,Western Metropolitan,229
3,h,390000,13.6,3,2,1,158,-37.7091,144.8958,Western Metropolitan,229
4,h,800000,13.6,4,2,2,719,-37.7062,144.8978,Western Metropolitan,229
3,h,525000,13.6,3,2,1,223,-37.704,144.8984,Western Metropolitan,229
4,h,740000,13.6,4,2,2,453,-37.7016,144.8974,Western Metropolitan,229
3,h,605000,12.1,3,1,2,597,-37.711,144.9478,Northern Metropolitan,239
3,h,685500,12.1,3,1,2,724,-37.7076,144.9481,Northern Metropolitan,239
2,h,610000,12.1,2,1,1,394,-37.7153,144.9507,Northern Metropolitan,239
3,h,630000,12.1,3,1,1,604,-37.7124,144.9514,Northern Metropolitan,239
4,h,870000,12.1,4,3,5,591,-37.7127,144.9489,Northern Metropolitan,239
3,h,810000,12.1,3,2,2,592,-37.7149,144.9473,Northern Metropolitan,239
3,h,840000,12.1,3,1,2,608,-37.7114,144.9378,Northern Metropolitan,239
5,h,585000,12.1,5,2,1,590,-37.711,144.9481,Northern Metropolitan,239
4,h,772500,12.1,3,2,2,595,-37.7116,144.9468,Northern Metropolitan,239
3,u,465000,12.1,3,1,1,225,-37.7068,144.9467,Northern Metropolitan,239
3,h,719000,12.1,3,1,4,692,-37.7084,144.9412,Northern Metropolitan,239
2,u,487000,12.1,2,1,2,198,-37.7132,144.9488,Northern Metropolitan,239
4,h,700000,12.1,2,2,2,700,-37.7056,144.9384,Northern Metropolitan,239
4,h,600500,12.1,4,2,1,462,-37.7062,144.9387,Northern Metropolitan,239
3,h,730000,12.1,3,1,2,570,-37.7106,144.9491,Northern Metropolitan,239
3,h,800000,12.1,3,2,2,565,-37.7094,144.9377,Northern Metropolitan,239
4,h,918000,12.1,4,2,2,763,-37.7123,144.9426,Northern Metropolitan,239
3,t,750000,12.1,3,2,2,301,-37.715,144.9475,Northern Metropolitan,239
3,h,740000,12.1,3,1,1,568,-37.7077,144.9438,Northern Metropolitan,239
3,h,721000,12.1,3,1,3,539,-37.7098,144.9446,Northern Metropolitan,239
3,h,646000,12.1,3,1,2,574,-37.7157,144.9507,Northern Metropolitan,239
3,h,545000,12.1,3,2,3,230,-37.7073,144.9486,Northern Metropolitan,239
3,h,770000,12.1,3,1,2,700,-37.705,144.9469,Northern Metropolitan,239
4,h,777000,12.1,3,1,2,700,-37.704,144.9399,Northern Metropolitan,239
2,h,722000,12.1,3,3,1,580,-37.7098,144.9424,Northern Metropolitan,239
2,h,545000,12.1,2,1,3,591,-37.7128,144.9471,Northern Metropolitan,239
3,t,510000,12.1,3,2,2,234,-37.707,144.9411,Northern Metropolitan,239
2,h,542500,12.1,2,1,1,359,-37.7133,144.9436,Northern Metropolitan,239
3,h,631500,12.1,4,1,3,593,-37.7133,144.947,Northern Metropolitan,239
4,h,750074,12.1,4,2,1,302,-37.7149,144.9474,Northern Metropolitan,239
3,h,591000,12.1,3,1,1,557,-37.7079,144.9432,Northern Metropolitan,239
3,h,550000,12.1,3,1,3,610,-37.7107,144.9419,Northern Metropolitan,239
2,h,330000,12.1,2,1,1,249,-37.714,144.939,Northern Metropolitan,239
5,h,800000,12.1,5,2,1,808,-37.7091,144.9491,Northern Metropolitan,239
3,h,725000,12.1,3,2,4,560,-37.7136,144.9374,Northern Metropolitan,239
4,h,815000,12.1,4,2,2,672,-37.7083,144.9495,Northern Metropolitan,239
2,h,715888,12.1,2,1,1,613,-37.7099,144.938,Northern Metropolitan,239
4,h,650000,12.1,4,1,4,588,-37.7096,144.9404,Northern Metropolitan,239
2,t,468000,12.1,2,1,1,137,-37.707,144.9413,Northern Metropolitan,239
3,h,1102000,12.1,3,1,2,1020,-37.709,144.9434,Northern Metropolitan,239
2,h,515000,12.1,2,1,2,345,-37.7128,144.9496,Northern Metropolitan,239
3,h,716000,12.1,3,1,2,594,-37.709,144.9483,Northern Metropolitan,239
2,h,640000,12.1,2,1,1,612,-37.7109,144.9389,Northern Metropolitan,239
2,h,460000,12.1,2,1,4,360,-37.7074,144.9407,Northern Metropolitan,239
2,u,895000,13.7,2,1,1,228,-37.9355,145.0008,Southern Metropolitan,191
2,u,587000,13.7,2,1,1,0,-37.9419,145.0019,Southern Metropolitan,191
4,h,2800000,13.7,3,3,2,701,-37.9419,145.0152,Southern Metropolitan,191
2,u,720000,13.7,2,1,1,832,-37.9387,145.0063,Southern Metropolitan,191
4,h,3250000,13.7,4,3,2,928,-37.9389,145.0062,Southern Metropolitan,191
4,h,2140000,13.7,4,2,3,688,-37.9319,145.0173,Southern Metropolitan,191
4,h,1600000,13.7,4,2,2,607,-37.9324,145.0235,Southern Metropolitan,191
3,t,2200000,13.7,3,2,3,1402,-37.9347,144.9963,Southern Metropolitan,191
3,h,1003500,13.7,3,1,2,289,-37.9338,145.0226,Southern Metropolitan,191
2,u,802000,13.7,2,1,1,0,-37.939,145.0137,Southern Metropolitan,191
4,t,1500000,13.7,4,1,1,692,-37.9386,145.0055,Southern Metropolitan,191
4,h,1686500,13.7,4,2,2,664,-37.9394,145.0099,Southern Metropolitan,191
5,h,1400000,13.7,5,2,2,434,-37.9361,145.0243,Southern Metropolitan,191
3,h,1560000,13.7,3,1,3,593,-37.9399,145.0204,Southern Metropolitan,191
2,u,680000,13.7,2,1,2,0,-37.939,145.0219,Southern Metropolitan,191
3,h,1715000,13.7,3,1,2,765,-37.9358,145.018,Southern Metropolitan,191
2,u,760000,13.7,2,1,1,90,-37.9389,145.0186,Southern Metropolitan,191
2,u,616000,13.7,2,1,1,0,-37.9373,145.0027,Southern Metropolitan,191
4,h,1680000,13.7,4,1,1,723,-37.9437,145.0175,Southern Metropolitan,191
5,h,2520000,13.7,5,4,2,661,-37.9438,145.0184,Southern Metropolitan,191
2,t,890000,13.7,1,2,2,181,-37.9433,145.019,Southern Metropolitan,191
3,h,1120000,13.7,4,2,3,373,-37.9395,145.0088,Southern Metropolitan,191
4,h,3200000,13.7,4,3,3,760,-37.9326,144.9997,Southern Metropolitan,191
4,h,1250000,13.7,4,3,2,398,-37.9381,145.0161,Southern Metropolitan,191
4,h,2420000,13.7,3,3,2,560,-37.9333,144.9977,Southern Metropolitan,191
4,h,2000000,13.7,4,3,4,615,-37.9429,145.0072,Southern Metropolitan,191
4,h,2880000,13.7,4,3,2,687,-37.9312,144.9997,Southern Metropolitan,191
5,h,1805000,13.7,4,2,2,700,-37.9419,145.0156,Southern Metropolitan,191
4,h,1460000,13.7,4,2,2,487,-37.9356,145.0166,Southern Metropolitan,191
3,h,1403000,13.7,3,1,2,495,-37.9428,145.0092,Southern Metropolitan,191
3,h,1682000,13.7,3,1,1,767,-37.9365,145.022,Southern Metropolitan,191
4,h,1875000,13.7,4,2,3,685,-37.9412,145.0021,Southern Metropolitan,191
